host_name,host_id,host_type,host_ips,missing_networks,stream_info,status_info,error_code,error_description,is_archived
s0708-pps01,77F63EB7-3226-1005-8673-0050568505BC,host,['10.200.16.3'],['10.200.16.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0428-pps01,7DF634EE-43A1-1005-A1DC-0050568525D9,host,['10.200.24.3'],['10.200.24.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0753-hyv01,7FA3D0B5-3B54-1005-8665-0050568505BC,host,['10.199.64.2'],['10.199.64.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0390-pps01,80340B8C-43A1-1005-B78A-0050568505BC,host,['10.200.48.3'],['10.200.48.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s1001-hyv01,803F735C-3438-1005-8663-0050568525D9,host,['172.31.4.2'],['172.31.4.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0840-pps01,8F1B3EF4-3223-1005-8673-0050568505BC,host,['10.199.156.3'],['10.199.156.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s1001-pps01,8FED7B2A-3438-1005-8665-0050568505BC,host,['172.31.4.3'],['172.31.4.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0797-pps01,91B61D43-5046-1005-B1B3-0050568505BC,host,['10.199.44.3'],['10.199.44.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0889-rgk01,92F06A12-35A6-1005-8665-0050568505BC,host,['10.193.231.2'],['10.193.231.0/28'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0073-hyv01,937972C9-4CFD-1005-B423-0050568505BC,host,['10.199.136.2'],['10.199.136.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0829-hyv01,944DE320-3568-1005-8665-0050568505BC,host,['10.200.12.2'],['10.200.12.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0090-pps01,9715AA4E-5344-1005-BD0A-0050568525D9,host,['10.199.92.3'],['10.199.92.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0798-hyv01,97AB072F-4FB9-1005-98AA-0050568505BC,host,['10.200.52.2'],['10.200.52.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0603-hyv01,98409765-37E8-1005-8663-0050568525D9,host,['10.200.28.2'],['10.200.28.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s649-boh,9A2EF101-6F19-41CE-B2AF-90402BBED8E3,host,['10.190.38.169'],['10.190.38.160/27'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
usco-pwsr-ds01,9B04833D-36F8-1005-8665-0050568505BC,host,['172.28.111.100'],['172.28.111.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0759-hyv01,9F1CCDC4-35B9-1005-8665-0050568505BC,host,['10.191.220.2'],['10.191.220.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0073-pps01,A2276EE0-4D5B-1005-A66B-0050568525D9,host,['10.199.136.3'],['10.199.136.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0429-hyv01,A54AF265-42EC-1005-88AB-0050568525D9,host,['10.188.132.2'],['10.188.132.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0335-rgk01,A54C9BB3-3B85-1005-8663-0050568525D9,host,['10.185.63.55'],['10.185.63.48/28'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0534-hyv01,A82A7133-4A4E-1005-BF11-0050568525D9,host,['10.199.60.2'],['10.199.60.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0769-hyv01,AC9644ED-4441-1005-B78A-0050568505BC,host,['10.199.4.2'],['10.199.4.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0759-ppc01,ACF032A6-35B7-1005-8665-0050568505BC,host,['10.191.220.4'],['10.191.220.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
s0549-hyv01,AE273D62-33AE-1005-8663-0050568525D9,host,['10.188.148.2'],['10.188.148.0/24'],orphaned,error,network_not_found,"Failed to reclaim, matching network not found",False
